Game number,Game type,White player,Black player,White rating,Black rating,My colour,My rating,Winner,Did i win?,number of moves,White accuracy,White opening accuracy,White middle accuracy,White end accuracy,No. best white,No. great white,No. good white,No. ok white,No. inaccuracy white,No. mistake white,No. blunder white,Improvement white,Black accuracy,Black opening accuracy,Black middle accuracy,Black end accuracy,No. best black,No. great black,No. good black,No. ok black,No. inaccuracy black,No. mistake black,No. blunder black,Improvement black,User accuracy,User opening accuracy,User middle accuracy,User end accuracy,No. best user,No. great user,No. good user,No. ok user,No. inaccuracy user,No. mistake user,No. blunder user,Improvement user
259,180,Ainceer,Crown_23,801,1240,White,801,Black,False,42.0,72.95,78.19,60.77,79.88,14,10,0,4,4,1,9,1,73.74,79.26,68.79,73.18,15,8,4,2,3,2,8,1,72.95,78.19,60.77,79.88,14,10,0,4,4,1,9,1
260,300,Crown_23,Ainceer,1240,801,Black,801,Black,True,26.0,45.01,81.32,8.16,45.61,5,2,0,1,5,1,12,1,54.45,73.41,36.05,53.8,8,4,1,0,1,1,11,1,54.45,73.41,36.05,53.8,8,4,1,0,1,1,12,1
261,300,Ainceer,Crown_23,801,1240,White,801,Black,False,40.0,48.8,70.28,42.2,32.25,11,6,1,0,1,1,20,2,50.83,78.04,32.68,39.68,8,7,2,2,0,3,18,1,48.8,70.28,42.2,32.25,11,6,1,0,1,1,20,2
262,180,kaanmaker59,Ainceer,781,809,Black,809,Black,True,32.0,63.33,81.72,48.09,59.87,10,7,0,2,1,3,9,1,61.26,79.05,67.73,34.58,10,5,2,2,2,1,10,2,61.26,79.05,67.73,34.58,10,5,2,2,2,1,9,2
263,180,raj007_cs,Ainceer,825,801,Black,801,White,False,6.5,84.27,99.5,95.46,50.24,3,3,0,0,0,0,1,2,77.24,99.1,48.72,83.88,1,3,0,1,0,0,1,1,77.24,99.1,48.72,83.88,1,3,0,1,0,0,1,1
264,180,Ainceer,mucahitkrcn,809,625,White,809,White,True,22.5,64.41,79.94,66.4,44.39,10,3,0,1,1,1,7,2,39.96,33.49,58.74,28.58,5,1,0,1,2,2,11,2,64.41,79.94,66.4,44.39,10,3,0,1,1,1,7,2
265,180,PITURALEZ,Ainceer,759,800,Black,800,White,False,54.5,66.07,49.86,67.66,81.6,20,10,1,2,3,3,16,0,59.45,61.82,59.61,56.92,19,7,3,1,1,4,19,2,59.45,61.82,59.61,56.92,19,7,3,1,1,4,16,2
266,180,Ainceer,harrisonh14,807,741,White,807,White,True,9.5,95.01,99.55,91.71,92.27,3,5,1,1,0,0,0,1,76.55,92.63,99.53,37.48,2,3,1,0,2,0,1,2,95.01,99.55,91.71,92.27,3,5,1,1,0,0,0,1
267,180,Ainceer,sauterellebleue,808,852,White,808,Draw,False,13.0,64.48,94.75,41.0,50.12,4,2,1,1,0,2,3,1,61.66,78.17,67.68,34.98,4,2,1,0,0,2,4,2,64.48,94.75,41.0,50.12,4,2,1,1,0,2,3,1
268,180,Ainceer,djodjodelamartinique,816,732,White,816,White,True,16.0,76.22,99.7,60.31,63.96,9,2,0,1,0,0,4,1,38.01,54.46,1.36,54.91,2,2,0,1,1,1,9,1,76.22,99.7,60.31,63.96,9,2,0,1,0,0,4,1
269,180,whitebox84,Ainceer,884,809,Black,809,White,False,18.5,59.69,36.71,62.8,83.38,7,3,0,1,1,0,7,0,49.27,76.35,32.32,39.13,6,1,0,0,2,1,8,1,49.27,76.35,32.32,39.13,6,1,0,0,2,1,7,1
270,180,Arauzandre,Ainceer,699,815,Black,815,Black,True,35.0,59.97,73.0,37.36,70.41,6,8,3,1,3,4,10,1,59.5,61.46,64.82,51.55,6,10,2,1,3,0,13,2,59.5,61.46,64.82,51.55,6,10,2,1,3,0,10,2
271,180,sadanandashetty,Ainceer,888,809,Black,809,White,False,15.5,63.6,60.34,69.35,61.77,4,3,3,0,0,1,5,0,74.79,83.48,91.5,49.38,3,5,2,0,1,2,2,2,74.79,83.48,91.5,49.38,3,5,2,0,1,2,5,2
272,180,Ainceer,On-kai,799,724,White,799,Black,False,27.0,71.5,89.67,82.31,42.51,10,3,5,0,2,1,6,2,64.55,65.79,64.09,63.78,8,6,1,0,3,1,8,2,71.5,89.67,82.31,42.51,10,3,5,0,2,1,6,2
273,180,mcf1701,Ainceer,927,794,Black,794,White,False,16.5,55.67,70.74,47.05,47.93,5,1,2,1,0,2,6,1,45.29,82.44,19.49,26.53,3,2,0,1,1,1,8,1,45.29,82.44,19.49,26.53,3,2,0,1,1,1,6,1
274,180,Ainceer,Hallojan2006,786,800,White,786,Black,False,27.0,63.81,89.41,61.98,40.03,7,5,3,2,2,0,8,2,72.29,81.14,78.41,57.31,9,6,2,0,3,2,5,2,63.81,89.41,61.98,40.03,7,5,3,2,2,0,8,2
