Game number,Game type,White player,Black player,White rating,Black rating,My colour,My rating,Winner,Did i win?,number of moves,White accuracy,White opening accuracy,White middle accuracy,White end accuracy,No. best white,No. great white,No. good white,No. ok white,No. inaccuracy white,No. mistake white,No. blunder white,Improvement white,Black accuracy,Black opening accuracy,Black middle accuracy,Black end accuracy,No. best black,No. great black,No. good black,No. ok black,No. inaccuracy black,No. mistake black,No. blunder black,Improvement black,User accuracy,User opening accuracy,User middle accuracy,User end accuracy,No. best user,No. great user,No. good user,No. ok user,No. inaccuracy user,No. mistake user,No. blunder user,Improvement user
2006,180,francisco61,Ainceer,1140,1109,Black,1109,Black,True,63.0,61.68,65.22,57.47,62.34,24,7,3,1,2,5,21,1,63.06,80.58,53.43,55.17,23,9,3,3,2,2,21,1,63.06,80.58,53.43,55.17,23,9,3,3,2,2,21,1
2007,180,xDarKWarrior25x,Ainceer,1138,1101,Black,1101,White,False,32.5,68.62,52.78,71.76,81.33,10,8,1,0,3,4,7,0,68.26,68.94,64.37,71.79,14,2,2,1,2,3,8,1,68.26,68.94,64.37,71.79,14,2,2,1,2,3,7,1
2008,180,Ainceer,hamadah99,1109,1098,White,1109,White,True,19.5,56.7,58.3,59.25,51.86,4,6,1,0,0,0,9,2,61.67,77.4,29.85,75.15,7,2,0,1,2,1,6,1,56.7,58.3,59.25,51.86,4,6,1,0,0,0,9,2
2009,180,moonpicsmoon,Ainceer,1225,1103,Black,1103,White,False,26.5,70.45,71.87,69.65,69.82,11,2,2,1,3,4,4,1,58.95,74.26,64.34,35.65,7,4,2,2,1,1,9,2,58.95,74.26,64.34,35.65,7,4,2,2,1,1,4,2
2010,180,Ainceer,trippy1980,1094,1101,White,1094,Black,False,16.0,59.39,97.51,50.99,22.05,3,5,1,0,0,1,6,2,55.61,65.42,59.11,40.35,3,4,1,0,1,1,6,2,59.39,97.51,50.99,22.05,3,5,1,0,0,1,6,2
2011,180,Ainceer,Mipto19,1100,999,White,1100,White,True,38.5,62.69,79.2,55.71,53.16,11,7,2,3,3,2,11,2,66.76,77.11,64.19,58.33,16,3,0,3,6,0,10,2,62.69,79.2,55.71,53.16,11,7,2,3,3,2,11,2
2012,180,falcon225,Ainceer,1261,1112,Black,1112,Black,True,26.0,70.29,93.55,48.82,68.26,10,6,0,1,2,0,7,1,71.24,81.72,53.09,79.88,11,5,1,1,0,2,6,1,71.24,81.72,53.09,79.88,11,5,1,1,0,2,7,1
2013,180,Ainceer,alfonsito6,1121,1161,White,1121,White,True,54.5,73.17,62.15,73.7,84.28,19,13,4,2,4,1,12,0,77.61,59.27,90.48,83.08,21,9,6,4,5,1,8,0,73.17,62.15,73.7,84.28,19,13,4,2,4,1,12,0
2014,180,lachzsacza,Ainceer,1036,1111,Black,1111,White,False,24.5,78.89,94.99,71.68,67.99,6,12,1,1,0,1,4,2,61.42,92.88,75.66,15.7,8,3,2,0,2,1,8,2,61.42,92.88,75.66,15.7,8,3,2,0,2,1,4,2
2015,180,Ainceer,Jawadbaghdadi227,1105,1206,White,1105,Black,False,20.5,63.33,84.97,75.09,29.93,5,7,0,1,0,1,7,2,68.73,67.54,65.8,73.55,6,4,2,1,2,0,5,1,63.33,84.97,75.09,29.93,5,7,0,1,0,1,7,2
2016,180,Zangalewa,Ainceer,1013,1111,Black,1111,Black,True,35.0,63.58,76.95,55.08,58.26,8,9,3,0,0,5,10,1,73.46,73.47,66.2,81.39,12,8,3,1,3,0,8,1,73.46,73.47,66.2,81.39,12,8,3,1,3,0,10,1
