[INFO extract] | 2000-01-01 00:00:00
[INFO extract] | 2020-11-01 00:00:00
[INFO extract] | 2020-12-01 00:00:00
[INFO extract] | 2021-01-01 00:00:00
[INFO extract] | 2021-02-01 00:00:00
[INFO extract] | 2021-03-01 00:00:00
[INFO extract] | 2021-04-01 00:00:00
[INFO extract] | 2021-05-01 00:00:00
[INFO extract] | 2021-06-01 00:00:00
[INFO extract] | 2021-07-01 00:00:00
[INFO extract] | 2021-08-01 00:00:00
[INFO extract] | 2021-09-01 00:00:00
[INFO extract] | 2021-10-01 00:00:00
[INFO extract] | 2021-11-01 00:00:00
[INFO extract] | 2021-12-01 00:00:00
[INFO extract] | 2022-01-01 00:00:00
[INFO extract] | 2022-02-01 00:00:00
[INFO extract] | 2022-03-01 00:00:00
[INFO extract] | 2022-04-01 00:00:00
[INFO extract] | 2022-05-01 00:00:00
[INFO user_analysis] | 2020-12-06 14:02:57 |241
[INFO user_analysis] | 2020-12-06 14:07:12 |242
[INFO user_analysis] | 2020-12-06 14:10:00 |243
[INFO user_analysis] | 2020-12-06 14:15:01 |244
[INFO user_analysis] | 2020-12-06 14:18:10 |245
[INFO user_analysis] | 2020-12-06 14:21:19 |246
[INFO user_analysis] | 2020-12-06 14:25:00 |247
[INFO user_analysis] | 2020-12-06 14:30:38 |248
[INFO user_analysis] | 2020-12-07 11:27:34 |249
[INFO user_analysis] | 2020-12-07 11:29:45 |250
[INFO user_analysis] | 2020-12-07 11:35:18 |251
[INFO user_analysis] | 2020-12-07 11:35:44 |252
[INFO user_analysis] | 2020-12-07 11:42:07 |253
[INFO user_analysis] | 2020-12-07 11:48:17 |254
[INFO user_analysis] | 2020-12-07 11:54:35 |255
[INFO user_analysis] | 2020-12-07 11:58:07 |256
[INFO user_analysis] | 2020-12-07 12:01:05 |257
[INFO user_analysis] | 2020-12-07 12:07:09 |258
[INFO user_analysis] | 2020-12-07 12:13:07 |259
[INFO user_analysis] | 2020-12-07 12:22:05 |260
[INFO user_analysis] | 2020-12-07 16:28:34 |261
[INFO user_analysis] | 2020-12-07 16:33:48 |262
[INFO user_analysis] | 2020-12-07 16:34:40 |263
[INFO user_analysis] | 2020-12-07 16:38:56 |264
[INFO user_analysis] | 2020-12-07 16:45:17 |265
[INFO user_analysis] | 2020-12-07 16:47:15 |266
